,Pays,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),%Protéines animale/protéines totales,%Evolution Population 2012/2013,Groupe
103,Niger,5096.0,161.86999999999998,34.21,3.93,1
104,Nigéria,5400.0,127.53000000000003,22.7,2.83,2
105,Norvège,6969.0,221.63,467.94,0.98,5
106,Nouvelle-Calédonie,5708.0,173.64000000000001,110.53,1.19,1
107,Nouvelle-Zélande,6273.0,184.92000000000002,318.26,1.03,5
108,Népal,5345.0,138.14000000000001,24.19,1.18,1
109,Oman,6283.0,176.45999999999998,109.91,9.6,2
110,Ouganda,4255.0,105.32,44.84,3.39,2
111,Ouzbékistan,5519.0,166.84,49.28,1.38,1
112,Pakistan,4878.0,130.93000000000004,55.09,1.66,2
113,Panama,5464.0,158.77000000000004,233.63,1.63,1
114,Paraguay,5173.0,141.29,74.45,1.72,1
115,Pays-Bas,6450.0,223.19,762.61,0.27,3
116,Philippines,5138.0,119.83000000000001,54.07,1.74,2
117,Pologne,6901.0,202.93,598.93,0.02,3
118,Polynésie française,5850.0,194.11999999999995,181.52,1.09,5
119,Portugal,6949.0,221.73999999999998,186.54,0.04,5
120,Pérou,5397.0,149.84000000000003,62.43,1.29,1
121,Roumanie,6718.0,206.03000000000003,163.81,-0.26,5
122,Royaume-Uni,6849.0,206.35000000000002,112.72,0.56,5
123,Rwanda,4452.0,113.60000000000001,55.02,2.78,2
124,République centrafricaine,3758.0,92.10999999999997,45.59,2.01,2
125,République de Corée,6667.0,192.32,198.92,0.53,5
126,République de Moldova,5429.0,142.77000000000004,84.63,-0.77,4
127,République dominicaine,5226.0,116.35999999999999,62.67,1.24,1
128,République démocratique populaire lao,4906.0,137.79000000000005,39.76,1.87,2
129,République populaire démocratique de Corée,4187.0,109.99999999999999,84.02,0.53,2
130,République-Unie de Tanzanie,4413.0,115.55000000000005,21.19,3.08,2
131,Saint-Kitts-et-Nevis,4982.0,144.64,257.3,0.0,1
132,Saint-Vincent-et-les Grenadines,5933.0,172.49999999999997,105.61,0.0,4
133,Sainte-Lucie,5184.0,171.45,227.96,0.55,1
134,Samoa,5915.0,171.06,82.48,0.53,4
135,Sao Tomé-et-Principe,4798.0,106.18,120.73,2.66,2
136,Serbie,5454.0,164.42000000000002,79.16,-0.44,4
137,Sierra Leone,4805.0,112.24000000000001,22.93,1.89,2
138,Slovaquie,5887.0,144.62000000000006,77.43,0.07,4
139,Slovénie,6336.0,192.20999999999998,53.7,0.19,4
140,Soudan,4671.0,141.40000000000003,79.3,2.07,2
141,Sri Lanka,5076.0,119.36000000000001,22.51,0.83,1
142,Suisse,6784.0,185.96999999999997,107.47,1.01,5
143,Suriname,5505.0,125.79999999999998,48.75,0.75,1
144,Suède,6358.0,215.2,140.91,0.63,5
145,Sénégal,4908.0,116.81000000000004,41.09,2.97,2
146,Tadjikistan,4400.0,126.77000000000002,53.39,2.48,2
147,Tchad,4219.0,125.46999999999996,20.03,3.03,2
148,Tchéquie (la),6511.0,174.88000000000005,128.67,0.39,4
149,Thaïlande,5569.0,121.73,91.45,0.34,1
150,Timor-Leste,4261.0,115.03000000000003,33.86,1.71,2
151,Togo,4902.0,119.55,15.84,2.62,2
152,Trinité-et-Tobago,6101.0,166.68,109.64,0.3,4
153,Tunisie,6697.0,197.06999999999996,178.46,1.12,5
154,Turkménistan,5676.0,180.99999999999997,82.58,1.3,1
155,Turquie,7413.0,216.24,103.62,1.26,5
156,Ukraine,6275.0,177.24999999999997,86.11,-0.64,4
157,Uruguay,6103.0,184.77,152.96,0.35,4
158,Vanuatu,5668.0,139.37,76.85,2.43,1
159,Venezuela (République bolivarienne du),5264.0,145.96999999999997,71.16,1.5,1
160,Viet Nam,5489.0,163.21,56.85,0.97,1
161,Yémen,4440.0,117.84000000000005,108.49,2.33,2
162,Zambie,3854.0,110.44000000000004,15.2,3.3,2
163,Zimbabwe,4223.0,96.67000000000007,23.07,3.1,2
164,Égypte,7040.0,206.45999999999998,65.2,1.65,5
165,Émirats arabes unis,6555.0,209.14,142.22,1.52,5
166,Équateur,4691.0,122.66,72.55,1.59,2
167,États-Unis d'Amérique,7363.0,219.01000000000005,857.19,0.8,3
168,Éthiopie,4260.0,120.78999999999999,26.05,2.59,2
169,Îles Salomon,4773.0,112.68000000000004,22.83,2.0,2
