Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QA","Élevage","162","Norvège","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","15975","","Donnée officielle"
"QA","Élevage","153","Nouvelle-Calédonie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","500","F","Estimation FAO"
"QA","Élevage","156","Nouvelle-Zélande","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","19094","","Donnée officielle"
"QA","Élevage","221","Oman","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4600","F","Estimation FAO"
"QA","Élevage","226","Ouganda","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","31680","","Donnée officielle"
"QA","Élevage","235","Ouzbékistan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","46800","*","Chiffre non officiel"
"QA","Élevage","165","Pakistan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","393000","*","Chiffre non officiel"
"QA","Élevage","166","Panama","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","19862","","Donnée officielle"
"QA","Élevage","168","Papouasie-Nouvelle-Guinée","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4400","F","Estimation FAO"
"QA","Élevage","169","Paraguay","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","16906","","Donnée officielle"
"QA","Élevage","150","Pays-Bas","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","97719","","Donnée officielle"
"QA","Élevage","170","Pérou","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","137679","","Donnée officielle"
"QA","Élevage","171","Philippines","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","163386","","Donnée officielle"
"QA","Élevage","173","Pologne","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","117054","","Donnée officielle"
"QA","Élevage","70","Polynésie française","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","305","F","Estimation FAO"
"QA","Élevage","177","Porto Rico","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","14600","F","Estimation FAO"
"QA","Élevage","174","Portugal","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","10236","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","179","Qatar","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","8600","F","Estimation FAO"
"QA","Élevage","212","République arabe syrienne","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","19187","","Donnée officielle"
"QA","Élevage","37","République centrafricaine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","6700","F","Estimation FAO"
"QA","Élevage","117","République de Corée","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","151337","","Donnée officielle"
"QA","Élevage","146","République de Moldova","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","32600","*","Chiffre non officiel"
"QA","Élevage","250","République démocratique du Congo","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","20249","","Donnée officielle"
"QA","Élevage","120","République démocratique populaire lao","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","30727","","Donnée officielle"
"QA","Élevage","56","République dominicaine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","170000","F","Estimation FAO"
"QA","Élevage","116","République populaire démocratique de Corée","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","15309","","Donnée officielle"
"QA","Élevage","215","République-Unie de Tanzanie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","35500","F","Estimation FAO"
"QA","Élevage","182","Réunion","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","15500","F","Estimation FAO"
"QA","Élevage","183","Roumanie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","80136","","Donnée officielle"
"QA","Élevage","229","Royaume-Uni","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","152000","","Donnée officielle"
"QA","Élevage","184","Rwanda","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4803","","Donnée officielle"
"QA","Élevage","187","Sainte-Hélène, Ascension et Tristan de Cunha","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","8","F","Estimation FAO"
"QA","Élevage","189","Sainte-Lucie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","450","F","Estimation FAO"
"QA","Élevage","188","Saint-Kitts-et-Nevis","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","85","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","190","Saint-Pierre-et-Miquelon","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","40","F","Estimation FAO"
"QA","Élevage","191","Saint-Vincent-et-les Grenadines","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","250","F","Estimation FAO"
"QA","Élevage","244","Samoa","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","484","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","5","Samoa américaines","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","40","F","Estimation FAO"
"QA","Élevage","193","Sao Tomé-et-Principe","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","265","*","Chiffre non officiel"
"QA","Élevage","195","Sénégal","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","48796","","Donnée officielle"
"QA","Élevage","272","Serbie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","17305","","Donnée officielle"
"QA","Élevage","196","Seychelles","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","88","F","Estimation FAO"
"QA","Élevage","197","Sierra Leone","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","12591","","Donnée officielle"
"QA","Élevage","200","Singapour","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3500","F","Estimation FAO"
"QA","Élevage","199","Slovaquie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","11521","","Donnée officielle"
"QA","Élevage","198","Slovénie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3172","","Donnée officielle"
"QA","Élevage","201","Somalie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","3500","F","Estimation FAO"
"QA","Élevage","276","Soudan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","46117","","Donnée officielle"
"QA","Élevage","277","Soudan du Sud","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","15000","F","Estimation FAO"
"QA","Élevage","38","Sri Lanka","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","16646","","Donnée officielle"
"QA","Élevage","210","Suède","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","8582","","Donnée officielle"
"QA","Élevage","211","Suisse","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","10003","","Donnée officielle"
"QA","Élevage","207","Suriname","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","4955","","Donnée officielle"
"QA","Élevage","208","Tadjikistan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","5021","","Donnée officielle"
"QA","Élevage","39","Tchad","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","6000","F","Estimation FAO"
"QA","Élevage","167","Tchéquie (la)","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","22534","","Donnée officielle"
"QA","Élevage","299","Palestine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","6212","","Donnée officielle"
"QA","Élevage","216","Thaïlande","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","259242","","Donnée officielle"
"QA","Élevage","176","Timor-Leste","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","820","","Donnée officielle"
"QA","Élevage","217","Togo","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","25000","F","Estimation FAO"
"QA","Élevage","218","Tokélaou","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","5","F","Estimation FAO"
"QA","Élevage","219","Tonga","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","330","F","Estimation FAO"
"QA","Élevage","220","Trinité-et-Tobago","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","35000","F","Estimation FAO"
"QA","Élevage","222","Tunisie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","88000","F","Estimation FAO"
"QA","Élevage","213","Turkménistan","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","16000","F","Estimation FAO"
"QA","Élevage","223","Turquie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","266153","","Donnée officielle"
"QA","Élevage","227","Tuvalu","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","51","Im","Données de la FAO basées sur une méthodologie d'imputation"
"QA","Élevage","230","Ukraine","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","195256","","Donnée officielle"
"QA","Élevage","234","Uruguay","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","20000","F","Estimation FAO"
"QA","Élevage","155","Vanuatu","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","750","F","Estimation FAO"
"QA","Élevage","236","Venezuela (République bolivarienne du)","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","122000","F","Estimation FAO"
"QA","Élevage","237","Viet Nam","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","234509","","Donnée officielle"
"QA","Élevage","249","Yémen","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","63000","F","Estimation FAO"
"QA","Élevage","251","Zambie","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","38000","F","Estimation FAO"
"QA","Élevage","181","Zimbabwe","5112","Réserves","1057","Poulets","2013","2013","1000 têtes","19749","Im","Données de la FAO basées sur une méthodologie d'imputation"
